카테고리명,지역,기관명,구분,주소,전화
CTGRY_NM,LOCAL,GOV_NM,DIV,ADDR,CALL_NUM
기술상담/농기계임대,강원도 강릉시,강릉시농업기술센터 농업기계임대,,[210-852] 강원도 강릉시 사천면 동해대로 3738-17,033-660-3160
기술상담/농기계임대,강원도 강릉시,강릉시농업기술센터 기술보급과 ,,[210-852] 강원 강릉시 사천면 동해대로 3738-17 산 61-6,033-660-3156~9
농지/주택,강원도 강릉시,강릉시청 ,강릉시청 건축과,,033-640-5260
금융,강원도 강릉시,강릉과학산업진흥원(출),,[] 강원 강릉시 과학단지로 106-11,033-655-3810
금융,강원도 강릉시,강릉교동지점,,[] 강원 강릉시 강릉대로 258,033-641-3811
금융,강원도 강릉시,강릉동부지점,,[] 강원 강릉시 하평길 56,033-653-2251
금융,강원도 강릉시,강릉시지부,,[] 강원 강릉시 임영로 123,033-641-3801
금융,강원도 강릉시,강릉시청<출>,,[] 강원 강릉시 강릉대로 33,033-643-2947
금융,강원도 강릉시,강릉원주대학교<출>,,[] 강원 강릉시 죽헌길 7,033-641-3809
금융,강원도 강릉시,성남동지점,,[] 강원 강릉시 중앙시장2길 4,033-645-6671
금융,강원도 강릉시,주문진지점,,[] 강원 강릉시 주문진읍 주문로 84,033-662-3730
기술상담/농기계임대,강원도 강원도원,강원도농업기술원,,[200-15] 강원도 춘천시 충열로 83(우두동),033-254-7901
농지/주택,강원도 강원도원,강원도청,강원도청 농어업정책과,,033-249-3413
기술상담/농기계임대,강원도 고성군,고성군농업기술센터,,[219-803] 강원도 고성군 간성읍 간성북로 87,033-681-5959
농지/주택,강원도 고성군,고성군청 홈페이지,고성군청 고객봉사과,,033-680-3471
금융,강원도 고성군,고성군지부,,[] 강원 고성군 간성읍 간성로 70 ,033-681-2080
금융,강원도 고성군,고성군청<출>,,[] 강원 고성군 간성읍 고성중앙길 9,033-681-6062
기술상담/농기계임대,강원도 동해시,동해시농업기술센터,,[240-030] 강원 동해시 부곡동 227-2,033-531-8292
농지/주택,강원도 동해시,동해시청 홈페이지,동해시청 건축관리과,,033-530-5451
금융,강원도 동해시,동해시지부,,[] 강원 동해시 천곡로 98,033-535-2865
금융,강원도 동해시,낙산대<출>,,[] 강원동해시평릉동207,033-531-6939
금융,강원도 동해시,동해시청<출>,,[] 강원 동해시 천곡로 77,033-535-0227
금융,강원도 동해시,묵호지점,,[] 강원 동해시 발한동 발한로 233,033-533-2860
금융,강원도 동해시,북평지점,,[] 강원 동해시 송정중앙로 43,033-521-4860
기술상담/농기계임대,강원도 삼척시,삼척시농업기술센터,,[245-832] 강원도 삼척시 근덕면 맹방해변로 49,033-573-2737
농지/주택,강원도 삼척시,삼척시청 ,삼척시청 건축과,,033-570-3471
금융,강원도 삼척시,도계지점,,[] 강원 삼척시 도계읍 도계로 223,033-541-0001
금융,강원도 삼척시,삼척시지부,,[] 강원 삼척시 척주로 19,033-574-1201
금융,강원도 삼척시,삼척시청<출>,,[] 강원 삼척시 중앙로 296,033-573-8753
기술상담/농기계임대,강원도 속초시,속초시농업기술센터,,[217-060] 강원 속초시 교동 979,033-633-5959
농지/주택,강원도 속초시,속초시청 홈페이지,속초시청 도시디자인과,,033-639-2773
금융,강원도 속초시,속초부영지점,,[] 강원 속초시 동해대로 4135,033-636-6752
금융,강원도 속초시,속초시지부,,[] 강원 속초시 중앙로 165,033-633-2732
금융,강원도 속초시,속초시청<출>,,[] 강원 속초시 중앙로 183,033-635-6148
기술상담/농기계임대,강원도 양구군,양구군농업기술센터,,[255-801] 강원 양구군 양구읍 하리,033-480-2554
농지/주택,강원도 양구군,양구군청 ,양구군청 민원봉사과,,033-480-2102
금융,강원도 양구군,양구군지부,,[] 강원 양구군 양구읍 양록길 47,033-481-2080
기술상담/농기계임대,강원도 양양군,양양군농업기술센터,,[215-821] 강원도 양양군 손양면 동해대로 2558,033-671-8772
농지/주택,강원도 양양군,양양군 귀농귀촌지원센터,,[] 강원 양양군 손양면 동해대로 2558 (송현리 278) ,033-670-2863
금융,강원도 양양군,양구군청<출>,,[] 강원 양구군 양구읍 관공서로 40,033-482-3322
금융,강원도 양양군,양양군지부,,[] 강원 양양군 양양읍 군청길 13,033-671-2380
금융,강원도 양양군,양양군청<출>,,[] 강원 양양군 양양읍 군청길 1,033-672-7101
기술상담/농기계임대,강원도 영월군,영월군농업기술센터,,[230-802] 강원도 영월군 영월읍 덕포우회길 329,033-373-5959
농지/주택,강원도 영월군,영월군청 ,영월군청 도시디자인과,,033-370-2472
금융,강원도 영월군,영월군지부,,[] 강원 영월군 영월읍 중앙로 45,033-374-2151
금융,강원도 영월군,영월군청<출>,,[] 강원 영월군 영월읍 하송로 64,033-374-2300
기술상담/농기계임대,강원도 원주시,원주시농업기술센터,,[220-844] 강원 원주시 흥업면 흥업리,033-737-4111
농지/주택,강원도 원주시,원주시청,원주시청 건축과,,033-737-3413
금융,강원도 원주시,북원지점,,[] 강원 원주시 북원로 2720-1,033-748-4326
금융,강원도 원주시,서원주지점,,[] 강원 원주시 서원대로 383,033-762-4763
금융,강원도 원주시,원주기업금융지점,,[] 강원 원주시 북원로 2461,033-747-8621
금융,강원도 원주시,원주남지점,,[] 강원 원주시 치악로 1793,033-762-5100
금융,강원도 원주시,원주시지부,,[] 강원 원주시 원일로 115,033-742-3171
금융,강원도 원주시,원주시청<출>,,[] 강원 원주시 시청로 1,033-731-2627
금융,강원도 원주시,학성동지점,,[] 강원 원주시 원일로 188,033-742-4742
기술상담/농기계임대,강원도 인제군,인제군농업기술센터,,[252-805] 강원 인제군 인제읍 남북리 427,033-461-2766
농지/주택,강원도 인제군,인제군청 홈페이지,인제군청 민원봉사실,,033-460-2263
금융,강원도 인제군,인제군지부,,[] 강원 인제군 인제읍 인제로 181,033-461-2141
금융,강원도 인제군,인제군청<출>,,[] 강원 인제군 인제읍 인제로187번길 8,033-462-0772
기술상담/농기계임대,강원도 정선군,정선군농업기술센터,,[233-852] 강원도 정선군 북평면 송석길 146-7,033-562-5861
농지/주택,강원도 정선군,정선군청 ,정선군청 도시건축과,,033-560-2474
금융,강원도 정선군,강원랜드<출>,,[] 강원 정선군 사북읍 하이원길 265,033-591-3251
금융,강원도 정선군,고한<출>,,[] 강원 정선군 고한읍 고한로 169,033-591-2111
금융,강원도 정선군,사북지점,,[] 강원 정선군 사북읍 사북중앙로 13,033-592-5300
금융,강원도 정선군,정선군지부,,[] 강원 정선군 정선읍 비봉로 35,033-563-0181
금융,강원도 정선군,정선군청<출>,,[] 강원 정선군 정선읍 봉양3길 21,033-563-2286
기술상담/농기계임대,강원도 철원군,철원군농업기술센터,,[269-811] 강원도 철원군 동송읍 장흥로 311,033-450-5551
농지/주택,강원도 철원군,철원군청 홈페이지,철원군청 도시과,,033-450-5472
금융,강원도 철원군,동송중앙지점,,[] 강원 철원군 동송읍 금학로 213,033-455-6812
금융,강원도 철원군,철원군지부,,[] 강원 철원군 갈말읍 명성로 142,033-452-0051
금융,강원도 철원군,철원군청<출>,,[] 강원 철원군 갈말읍 삼부연로 51,033-452-0010
기술상담/농기계임대,강원도 철원군,춘천시농업기술센터,,[200-821] 강원도 춘천시 신북읍 신샘밭로 365,033-250-3371
농지/주택,강원도 철원군,춘천시청 ,춘천시청 건축과,,033-250-3182
금융,강원도 철원군,강남동지점,,[] 강원 춘천시 경춘로 2342,033-243-8100
금융,강원도 철원군,강원교육청<출>,,[] 강원 춘천시 영서로 2854,033-257-4491
금융,강원도 철원군,강원도청<출>,,[] 강원 춘천시 중앙로 1,033-255-5090
금융,강원도 철원군,석사동지점,,[] 강원 춘천시 후석로 44,033-262-0011
금융,강원도 철원군,중앙로지점,,[] 강원 춘천시 중앙로 105,033-254-5071
금융,강원도 철원군,춘천남지점,,[] 강원 춘천시 퇴계로 118,033-262-2871
금융,강원도 철원군,춘천시지부,,[] 강원 춘천시 중앙로 37,033-254-4491
금융,강원도 철원군,춘천시청<출>,,[] 강원 춘천시 시청길 11,033-241-6743
금융,강원도 철원군,후평동지점,,[] 강원 춘천시 춘천로 302,033-254-8803
기술상담/농기계임대,강원도 춘천시,춘천시농업기술센터,,[200-821] 강원도 춘천시 신북읍 신샘밭로 365,033-250-3371
농지/주택,강원도 춘천시,춘천시청 ,춘천시청 건축과,,033-250-3182
금융,강원도 춘천시,강남동지점,,[] 강원 춘천시 경춘로 2342,033-243-8100
금융,강원도 춘천시,강원교육청<출>,,[] 강원 춘천시 영서로 2854,033-257-4491
금융,강원도 춘천시,강원도청<출>,,[] 강원 춘천시 중앙로 1,033-255-5090
금융,강원도 춘천시,석사동지점,,[] 강원 춘천시 후석로 44,033-262-0011
금융,강원도 춘천시,중앙로지점,,[] 강원 춘천시 중앙로 105,033-262-2871
금융,강원도 춘천시,춘천남지점,,[] 강원 춘천시 퇴계로 118,033-262-2871
금융,강원도 춘천시,춘천시지부,,[] 강원 춘천시 중앙로 37,033-254-4491
금융,강원도 춘천시,춘천시청<출>,,[] 강원 춘천시 시청길 11,033-241-6743
금융,강원도 춘천시,후평동지점,,[] 강원 춘천시 춘천로 302,033-254-8803
기술상담/농기계임대,강원도 태백시,태백시농업기술센터,,[235-010] 강원도 태백시 연지로 7 (황지동),033-550-2721
농지/주택,강원도 태백시,태백시청 홈페이지,태백시청 건축과,,033-550-2142
금융,강원도 태백시,장성지점,,[] 강원 태백시 장성로 38,033-581-5522
금융,강원도 태백시,태백시지부,,[] 강원 태백시 황지로 159,033-552-1281
금융,강원도 태백시,태백시청<출>,,[] 강원 태백시 태붐로 21,033-552-3442
기술상담/농기계임대,강원도 평창군,평창군농업기술센터,,[232-803] 강원도 평창군 평창읍 여만길 46,033-332-2037
농지/주택,강원도 평창군,평창군청 홈페이지,평창군청 도시주택과,,033-330-2452
금융,강원도 평창군,평창군지부,,[] 강원 평창군 평창읍 노성로 104,033-332-2510
금융,강원도 평창군,평창군청<출>,,[] 강원 평창군 평창읍 군청길 77,033-332-3540
기술상담/농기계임대,강원도 홍천군,홍천군농업기술센터,,[250-802] 강원 홍천군 홍천읍 홍천로 677,033-430-4160
농지/주택,강원도 홍천군,홍천군귀농귀촌지원센터,귀농귀촌지원센터,,033-430-2676
농지/주택,강원도 홍천군,홍천군청 ,홍천군청 농업행정담당,,033-430-2673
금융,강원도 홍천군,홍천군지부,,[250-805] 강원 홍천군 홍천읍 꽃뫼로 118,033-434-2121
기술상담/농기계임대,강원도 화천군,화천군농업기술센터,,[209-802] 강원 화천군 화천읍 상리 강원 화천군 화천읍 상리 659-3,033-441-6258
농지/주택,강원도 화천군,화천군청 ,화천군청 농업진흥과,,033-440-2962
금융,강원도 화천군,화천군지부,,[] 강원 화천군 화천읍 중앙로 30,033-442-2480
금융,강원도 화천군,화천군청<출>,,[] 강원 화천군 화천읍 화천새싹길 45,033-442-0231
기술상담/농기계임대,강원도 횡성군,횡성군농업기술센터,,[225-874] 강원도 횡성군 공근면 영서로 150 775,033-340-5581
농지/주택,강원도 횡성군,횡성군청 홈페이지,횡성군청 민원봉사과,,033-340-2434
금융,강원도 횡성군,횡성군지부,,[] 강원 횡성군 횡성읍 삼일로 7,033-343-2811
금융,강원도 횡성군,횡성군청<출>,,[] 강원 횡성군 횡성읍 태기로 15,033-343-1227
